,Observation ID,Camera,Exposure Identifier,Exposure Time,l,b,Target,Target Type
1334,0555970301,PN,S003,9.4,345.4,40.5,GRB 080721,GAMMA RAY BURSTS
1335,0304200401,MOS2,S002,15.3,329.8,3.4,HD 330075,STAR G0V
1336,0405550401,MOS1,S001,24.7,332.2,-23.6,RXCJ1847.3-6320,CLUSTER OF GALAXIES ABELL CLASS 0 WITH COOLING FLOW
1337,0405550401,PN,S003,16.0,332.2,-23.6,RXCJ1847.3-6320,CLUSTER OF GALAXIES ABELL CLASS 0 WITH COOLING FLOW
1338,0150190201,MOS1,S001,14.4,339.9,-31.3,V393 Pav,CV AM HER (POLAR)
1339,0744390401,MOS1,S001,17.0,340.2,-33.2,RXCJ2011.3-5725,CLUSTER OF GALAXIES (NON-ABELL)
1340,0692931701,PN,S003,2.7,332.9,-19.3,PLCKESZG332.88-19.28,CLUSTER OF GALAXIES (NON-ABELL)
1341,0101640601,MOS1,S002,6.9,20.7,27.3,NGC 6240,IR GALAXY RADIO QUIET TYPE 2
1342,0674950201,PN,S003,2.9,8.9,12.8,PSR J1719-14,RADIO PULSAR
1343,0765020101,MOS1,S001,10.9,355.4,-24.0,A3638,CLUSTER OF GALAXIES ABELL CLASS 2 WITH COOLING FLOW
1344,0765020101,PN,S003,7.7,355.4,-24.0,A3638,CLUSTER OF GALAXIES ABELL CLASS 2 WITH COOLING FLOW
1345,0152630201,MOS1,S001,6.0,345.0,18.0,SXRB_2,X-RAY BACKGROUND
1346,0304080301,MOS2,S002,16.5,350.4,-32.6,PKS 2005-489,BL LAC RADIO LOUD FLAT RADIO SP
1347,0764100801,MOS1,S001,12.5,40.5,-19.0,WASP-80b,STAR M0V
1348,0764100801,MOS2,S002,11.4,40.5,-19.0,WASP-80b,STAR M0V
1349,0764100801,PN,S003,3.5,40.5,-19.0,WASP-80b,STAR M0V
1350,0306170401,PN,S003,9.9,28.1,-0.7,IGR J18450-0435,HMXRB SUPERGIANT
1351,0065820601,MOS1,S007,10.3,31.6,5.3,Serpens exposure 2,STAR FORMING REGION
1352,0065820601,MOS2,S008,12.0,31.6,5.3,Serpens exposure 2,STAR FORMING REGION
1353,0065820601,PN,S009,5.1,31.6,5.3,Serpens exposure 2,STAR FORMING REGION
1354,0672990401,MOS1,S001,14.6,13.9,31.8,1FGL J1625.3-0019,GAMMA RAY SOURCE PULSAR
1355,0672990401,PN,S003,10.6,13.9,31.8,1FGL J1625.3-0019,GAMMA RAY SOURCE PULSAR
1356,0067340401,MOS1,S001,13.1,25.0,20.0,Field IV,X-RAY BACKGROUND
1357,0765000601,MOS1,S001,14.8,343.8,-26.7,RXCJ1926.9-5342,CLUSTER OF GALAXIES ABELL CLASS 2 WITH COOLING FLOW
1358,0202611301,MOS1,S001,8.3,315.7,-0.7,ALPHA CEN,STAR G2V
1359,0202611301,MOS2,S002,8.2,315.7,-0.7,ALPHA CEN,STAR G2V
1360,0650382901,MOS1,S001,6.2,6.3,37.6,MACSJ1551-02,CLUSTER OF GALAXIES (NON-ABELL)
1361,0650382901,MOS2,S002,6.4,6.3,37.6,MACSJ1551-02,CLUSTER OF GALAXIES (NON-ABELL)
1362,0143630501,MOS1,S001,8.2,315.7,-0.7,Alpha Cen,STAR G2V
1363,0204711001,MOS2,S002,3.3,323.6,-8.7,CIZAJ1614.1-6306,CLUSTER OF GALAXIES
1364,0204711001,PN,S003,1.3,323.6,-8.7,CIZAJ1614.1-6306,CLUSTER OF GALAXIES
1365,0021750601,MOS1,S004,5.9,321.5,-15.3,AlphaTrA,STAR K2II
1366,0021750601,MOS2,S005,5.9,321.5,-15.3,AlphaTrA,STAR K2II
1367,0021750601,PN,S006,3.0,321.5,-15.3,AlphaTrA,STAR K2II
1368,0201951801,MOS1,S001,6.3,355.2,35.8,HR 5777,STAR K1IV
1369,0202611201,MOS2,S002,8.6,315.7,-0.7,ALPHA CEN,STAR G2V
1370,0109463201,MOS2,S002,4.8,330.6,-32.5,V2009-65,CV AM HER (POLAR)
1371,0503320101,PN,S004,4.3,318.3,-0.1,AX J145605-5913,UNIDENTIFIED
1372,0045340401,MOS1,S004,6.8,315.7,-0.7,Alpha Centauri,STAR G2V
1373,0045340401,MOS2,S005,6.9,315.7,-0.7,Alpha Centauri,STAR G2V
1374,0511010501,PN,S003,4.0,317.6,-0.5,SAX J1452.8-5949,EXTENDED GALACTIC OR EXTRAGALACTIC
1375,0045341001,MOS1,S004,7.0,315.7,-0.7,Alpha Centauri,STAR G2V
1376,0045341001,MOS2,S005,7.3,315.7,-0.7,Alpha Centauri,STAR G2V
1377,0103261001,MOS1,S001,5.4,315.7,-4.4,PSR B1449-64,RADIO PULSAR
1378,0405640901,MOS2,S002,10.9,351.5,-0.4,IGR J17252-3616,HMXRB SUPERGIANT X-RAY PULSAR ECLIPSING
1379,0112380101,PN,S003,21.3,348.6,22.4,SCO-CEN PT1,OB ASSOCIATION/HII REGION
1380,0658400901,MOS2,U002,15.7,359.3,-19.4,GRB 111020A,GAMMA RAY BURSTS
1381,0658400901,PN,U002,13.3,359.3,-19.4,GRB 111020A,GAMMA RAY BURSTS
1382,0651460101,PN,S003,25.0,345.4,-41.4,NGC7007,ELLIPTICAL GALAXY
1383,0017740701,PN,S009,9.5,33.0,2.0,Galactic Ridge 2,EXTENDED GALACTIC OR EXTRAGALACTIC
1384,0740640101,PN,U002,27.3,327.2,0.5,Kes 27,SNR COMPOSITE TYPE II
1385,0410180501,MOS1,S002,45.0,19.8,10.4,RS Oph,CV RECURRENT NOVA
1386,0065820201,PN,S009,10.4,31.6,5.3,Serpens exposure 2,STAR FORMING REGION
1387,0017740601,PN,S009,15.2,33.0,2.0,Galactic Ridge 2,EXTENDED GALACTIC OR EXTRAGALACTIC
1388,0112490301,PN,S010,9.2,27.5,2.9,aqui_pos3,MOLECULAR CLOUD
1389,0153190101,PN,S011,8.1,353.8,7.3,X1658-298,LMXRB BURSTER ECLIPSING DIPPER
1390,0065820501,PN,S009,7.1,31.6,5.3,Serpens exposure 1,STAR FORMING REGION
1391,0087940101,PN,U003,23.3,337.2,-0.7,G337.2-0.7,SNR
1392,0059770101,MOS1,S001,38.7,328.5,-14.1,NGC 6300,UNDEFINED
1393,0059770101,MOS2,S002,39.6,328.5,-14.1,NGC 6300,UNDEFINED
1394,0059770101,PN,S003,30.4,328.5,-14.1,NGC 6300,UNDEFINED
1395,0400890201,MOS1,U002,46.3,345.0,2.5,GRO J1655-40_1,LMXRB BLACK HOLE JETS
1396,0400890201,PN,U002,33.6,345.0,2.5,GRO J1655-40_1,LMXRB BLACK HOLE JETS
